db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n347273459,Biocentrismus - Život a vědomí jako klíče k pochopení opravdové povahy vesmíru,0,0,2016,224,Barrister &amp; Principal,naučná,české</p>,,"Kniha dvou z nejčtenějších amerických autorů – biologa Roberta Lanzy a astronoma Boba Bermana – je strhujícím čtením, které naprosto převrací náš po tisíce let zastávaný názor...",167,269,"['Barrister & Principal, naučná', '', 'české']"
n433991515,Scruton Roger - Západ a ti druzí,0,0,2016,176,Barrister &amp; Principal,naučná,české</p>,,"Zatímco islámská civilizace je drásána konflikty, západní civilizace má vnitřní tendenci k rovnováze. Svobody, které občané Západu pokládají za samozřejmost, jsou v islámských...",131,199,"['Barrister & Principal, naučná', '', 'české']"
n354350695,Příručka mentoringu Kniha,0,0,2016,204,Barrister &amp; Principal,naučná,české</p>,,"Tato kniha je nejen příručkou pro ty, kdo chtějí posilovat roli mentoringu a budovat mentorské kapacity v českých školách, ale i inspirací pro všechny, kteří podporují změny,...",99,245,"['Barrister & Principal, naučná', '', 'české']"
n440142664,"Jak být šťastný od 9 do 5 - Jak milovat život, mít rád svou práci a být v ní úspěšný - Kjerulf Alexander",100,1,2016,208,Barrister &amp; Principal,naučná,české</p>,,"Pro mnohé z nás je pracovní život příliš náročný, stresující a nijak nás netěší. Něco by se s tím mělo udělat! Pojďme to změnit. Zažívat v práci štěstí není žádný luxus - je to...",141,220,"['Barrister & Principal, naučná', '', 'české']"
n370637267,"Dvacet rad rodičům. aneb Praktický návod, jak bez větších karambolů vychovat své děti - Kim Oates",0,0,2016,192,Barrister &amp; Principal,naučná,české</p>,,"Realistický, praktický a střízlivý pohled na řešení mnoha běžných starostí, které trápí rodiče při výchově dětí od dvou do deseti let. Zkušený pediatr nabízí rady, jak řešit...",131,199,"['Barrister & Principal, naučná', '', 'české']"
n450751601,"Barrister & Principal, o.s. Mezi nebem a zemí",100,1,2016,196,Barrister &amp; Principal,naučná,české</p>,,"„Autor je Žid, věřící v Ježíše Krista. Přesto zůstává nepokřtěným Židem. Pro toto své počínání může uvést více důvodů. První důvod: autor věří, že pokud by Izrael jako národ a...",149,229,"['Barrister & Principal, naučná', '', 'české']"
n368174403,Básnířka dvou srdcí. aneb Zdislavice a Vídeň - Marie von Ebner-Eschenbach - Barrister & Principal,0,0,2016,192,Barrister &amp; Principal,naučná,české</p>,,"Kniha s poetickým a přitom přiléhavým názvem má za cíl ukázat nedoceněnou a často opomíjenou autorku v poněkud nezvyklém světle. Obsahuje totiž poezii, divadelní hry,...",195,295,"['Barrister & Principal, naučná', '', 'české']"
n383223256,"Ani Bůh ani člověk. Slova, obrazy a středověká úzkost z výtvarného umění - Hubert L. Kessler",0,0,2016,200,Barrister &amp; Principal,naučná,české</p>,,"Ani Bůh ani člověk. Slova, obrazy a středověká úzkost z výtvarného umění je jednou z recentních prací Herberta L. Kesslera, která vyšla poprvé v roce 2007 jako součást ediční...",207,266,"['Barrister & Principal, naučná', '', 'české']"
