db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n188295925,"Požehnání, ne prokletí. Průvodce pro matky a jejich dospívající dcery - Jane Bennettová - DharmaGaia",95,1,2014,174,DharmaGaia,naučná,české</p>,,"Pro dospívající dívku je mimořádné období první menstruace (menarché). Je to doba, ke které je třeba přistupovat s úctou, doba, v níž budoucí žena prochází možná tím...",140,208,"['DharmaGaia, naučná', '', 'české']"
n177861990,Miminka v bezpečí,93,3,2014,224,DharmaGaia,naučná,české</p>,,"MIMINKA V BEZPEČÍ

	Julia Dibbernová
	Průvodce pro odvážné rodiče

	Anotace
	Julia Dibbernová napsala svým způsobem nekompromisní knihu. Ve svých názorech je často radikální, a...",174,249,"['DharmaGaia, naučná', '', 'české']"
